clean("bowl", "initial_onto.ttl")
put_down_rec("bowl", "countertop")
put_down_obj("chicken", "countertop")
put_down_obj("onion", "countertop")
put_down_obj("yogurt", "countertop")
put_down_obj("lemon", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("pepper", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("chicken", "pan")
put_down_rec("pan", "stove")
put_down_rec("pan", "countertop")
put_down_obj("onion", "pan")
put_down_obj("yogurt", "pan")
put_down_obj("lemon", "pan")
put_down_obj("oil", "pan")
put_down_obj("salt", "pan")
put_down_obj("pepper", "pan")
put_down_rec("plate", "countertop")
put_down_obj("chicken", "plate")
