clean("bowl", "initial_onto.ttl")
put_down_rec("bowl", "countertop")
put_down_obj("chicken", "countertop")
put_down_obj("onion", "countertop")
put_down_obj("garlic_clove", "countertop")
put_down_obj("yogurt", "countertop")
put_down_obj("lemon", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("pepper", "countertop")
put_down_obj("cumin_powder", "countertop")
put_down_obj("paprika", "countertop")
mix_contents("bowl", "updated_onto.ttl")
put_down_obj("chicken", "pot")
marinate("chicken", "updated_onto.ttl")
cook("chicken", "updated_onto.ttl")
put_down_rec("plate", "countertop")
put_down_obj("chicken", "plate")
put_down_obj("cumin_powder", "countertop")
put_down_obj("paprika", "countertop")
