pick_up_obj("all_purpose_flour", "./LLM_KG_Human/initial_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
put_down_obj("onion", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("potato", "countertop")
clean("knife", "./LLM_KG_Human/updated_onto.ttl")
put_down_tool("knife", "countertop")
put_down_obj("all_purpose_flour", "countertop")
put_down_rec("countertop", "kitchen_floor")
mix_contents("countertop", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("potato", "pan")
boil("potato", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("potato", "cutting_board")
slice("onion", "knife", "./LLM_KG_Human/updated_onto.ttl")
put_down_tool("knife", "cutting_board")
mix_contents("cutting_board", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
put_down_obj("oil", "pan")
fry("samosa", "./LLM_KG_Human/updated_onto.ttl")
wash("flour", "./LLM_KG_Human/updated_onto.ttl")
