clean("pan", "./LLM_KG/initial_onto.ttl")
put_down_rec("pan", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("potato", "countertop")
slice("potato", "knife", "./LLM_KG/updated_onto.ttl")
put_down_tool("chefs_knife", "countertop")
put_down_rec("pan", "countertop")
put_down_obj("oil", "pan")
put_down_obj("potato", "pan")
fry("potato", "./LLM_KG/updated_onto.ttl")
put_down_obj("salt", "pan")
put_down_rec("plate", "countertop")
put_down_obj("potato", "plate")
